D,F(D),Sigma(D),F(Sigma(D))
794,-11800,1191,-11006
795,-899,75,-104
796,-58916,1194,-58120
797,-13925,598,-13128
798,-7158,1197,-6360
799,-12828,300,-12029
800,-20026,1200,-19226
801,-4726,601,-3925
802,-5358,1203,-4556
803,-1054,151,-251
804,-25602,1206,-24798
805,-9782,604,-8977
806,-2965,1209,-2159
807,-1395,303,-588
808,-35308,1212,-34500
809,-3644,607,-2835
810,-6490,1215,-5680
811,-861,10,-50
812,-14691,1218,-13879
813,-13420,610,-12607
814,-16278,1221,-15464
815,-1708,306,-893
816,-22019,1224,-21203
817,-13934,613,-13117
818,-2296,1227,-1478
819,-1397,154,-578
820,-111649,1230,-110829
821,-10679,616,-9858
822,-8645,1233,-7823
823,-14199,309,-13376
824,-24490,1236,-23666
825,-1484,619,-659
826,-14145,1239,-13319
827,-10504,78,-9677
828,-4845,1242,-4017
829,-8272,622,-7443
830,-5608,1245,-4778
831,-17060,312,-16229
832,-77839,1248,-77007
833,-445762,625,-444929
834,-2345,1251,-1511
835,-12668,157,-11833
836,-5950,1254,-5114
837,-25536,628,-24699
838,-15171,1257,-14333
839,-1364,315,-525
840,-14515,1260,-13675
841,-2217,631,-1376
842,-3620,1263,-2778
843,-1269,40,-426
844,-4189,1266,-3345
845,-4160,634,-3315
846,-32745,1269,-31899
847,-3301,318,-2454
848,-83340,1272,-82492
849,-4614,637,-3765
850,-7869,1275,-7019
851,-8641,160,-7790
852,-13915,1278,-13063
853,-68209,640,-67356
854,-16664,1281,-15810
855,-2831,321,-1976
856,-22542,1284,-21686
857,-1731,643,-874
858,-2738,1287,-1880
859,-10845,81,-9986
860,-19834,1290,-18974
861,-4259,646,-3398
862,-6523,1293,-5661
863,-3131,324,-2268
864,-26760,1296,-25896
865,-11982,649,-11117
866,-18116,1299,-17250
867,-1121,163,-254
868,-16416,1302,-15548
869,-13988,652,-13119
870,-6027,1305,-5157
871,-1381,327,-510
872,-167561,1308,-166689
873,-18857,655,-17984
874,-20959,1311,-20085
875,-11012,21,-10137
876,-5096,1314,-4220
877,-3079,658,-2202
878,-9233,1317,-8355
879,-2563,330,-1684
880,-25579,1320,-24699
881,-32154,661,-31273
882,-12321,1323,-11439
883,-1533,166,-650
884,-39054,1326,-38170
885,-11717,664,-10832
886,-8596,1329,-7710
887,-2637,333,-1750
888,-32163,1332,-31275
889,-11719,667,-10830
890,-36411,1335,-35521
891,-9435,84,-8544
892,-10301,1338,-9409
893,-4483,670,-3590
894,-13255,1341,-12361
895,-47772,336,-46877
896,-110239,1344,-109343
897,-12530,673,-11633
898,-5163,1347,-4265
899,-11672,169,-10773
900,-9195,1350,-8295
901,-27795,676,-26894
902,-5281,1353,-4379
903,-4030,339,-3127
904,-17774,1356,-16870
905,-4563,679,-3658
906,-8373,1359,-7467
907,-950,43,-43
908,-10672,1362,-9764
909,-30334,682,-29425
911,-2911,342,-2000
912,-32740,1368,-31828
913,-3402,685,-2489
914,-12776,1371,-11862
915,-11997,172,-11082
916,-14243,1374,-13327
917,-10500,688,-9583
918,-14586,1377,-13668
919,-11842,345,-10923
920,-30653,1380,-29733
921,-12207,691,-11286
922,-13289,1383,-12367
923,-1116,87,-193
924,-9242,1386,-8318
925,-6590,694,-5665
926,-15300,1389,-14374
927,-13762,348,-12835
928,-52540,1392,-51612
929,-2222,697,-1293
930,-13591,1395,-12661
931,-1319,175,-388
932,-21773,1398,-20841
933,-6821,700,-5888
934,-3533,1401,-2599
935,-10680,351,-9745
936,-20509,1404,-19573
937,-12329,703,-11392
938,-445828,1407,-444890
939,-964,6,-25
940,-14975,1410,-14035
941,-3009,706,-2068
942,-24071,1413,-23129
943,-13076,354,-12133
944,-12478,1416,-11534
945,-9344,709,-8399
946,-2495,1419,-1549
947,-1455,178,-508
948,-132813,1422,-131865
949,-10058,712,-9109
950,-8802,1425,-7852
951,-2681,357,-1730
952,-30630,1428,-29678
953,-1803,715,-850
954,-3686,1431,-2732
955,-1281,90,-326
956,-5936,1434,-4980
957,-38060,718,-37103
959,-8349,360,-7390
960,-66716,1440,-65756
961,-14529,721,-13568
962,-3174,1443,-2212
963,-2377,181,-1414
964,-6602,1446,-5638
965,-12666,724,-11701
966,-19108,1449,-18142
967,-1349,363,-382
968,-20982,1452,-20014
969,-2752,727,-1783
970,-4368,1455,-3398
971,-10815,46,-9844
972,-4799,1458,-3827
973,-3288,730,-2315
974,-17005,1461,-16031
975,-16682,366,-15707
976,-56349,1464,-55373
977,-3744,733,-2767
978,-12467,1467,-11489
979,-3852,184,-2873
980,-61303,1470,-60323
981,-162193,736,-161212
982,-11832,1473,-10850
983,-18066,369,-17083
984,-20465,1476,-19481
985,-1873,739,-888
986,-3030,1479,-2044
987,-1544,93,-557
988,-7038,1482,-6050
989,-15512,742,-14523
990,-17563,1485,-16573
991,-27457,372,-26466
992,-35639,1488,-34647
993,-3032,745,-2039
994,-13159,1491,-12165
995,-1230,187,-235
996,-10168,1494,-9172
997,-6381,748,-5384
998,-4255,1497,-3257
999,-2166,375,-1167
1000,-11470,1500,-10470
1001,-3002,751,-2001
1002,-35814,1503,-34812
1003,-11103,24,-10100
1004,-9515,1506,-8511
1005,-2920,754,-1915
1006,-11020,1509,-10014
1007,-9955,378,-8948
1008,-54463,1512,-53455
1009,-16249,757,-15240
1010,-12601,1515,-11591
1011,-3676,190,-2665
1012,-26488,1518,-25476
1013,-33453,760,-32440
1014,-26218,1521,-25204
1015,-3026,381,-2011
1016,-22112,1524,-21096
1017,-12209,763,-11192
1018,-20426,1527,-19408
1019,-3743,96,-2724
1020,-9104,1530,-8084
1021,-9459,766,-8438
1022,-39196,1533,-38174
1023,-28743,384,-27720
1025,-19080,769,-18055
1026,-3325,1539,-2299
1027,-1739,193,-712
1028,-7360,1542,-6332
1029,-16877,772,-15848
1030,-4434,1545,-3404
1031,-11683,387,-10652
1032,-8895,1548,-7863
1033,-12291,775,-11258
1034,-22024,1551,-20990
1035,-11354,49,-10319
1036,-15277,1554,-14241
1037,-5505,778,-4468
1038,-100272,1557,-99234
1039,-3601,390,-2562
1040,-26059,1560,-25019
1041,-4971,781,-3930
1042,-12985,1563,-11943
1043,-12421,196,-11378
1044,-39976,1566,-38932
1045,-18558,784,-17513
1046,-5325,1569,-4279
1047,-12051,393,-11004
1048,-32897,1572,-31849
1049,-3956,787,-2907
1050,-5188,1575,-4138
1051,-1198,99,-147
1052,-37160,1578,-36108
1053,-14747,790,-13694
1054,-40120,1581,-39066
1055,-11480,396,-10425
1056,-456460,1584,-455404
1057,-11925,793,-10868
1058,-12758,1587,-11700
1059,-1362,199,-303
1060,-21716,1590,-20656
1061,-59977,796,-58916
1062,-3879,1593,-2817
1063,-12610,399,-11547
1064,-12910,1596,-11846
1065,-13893,799,-12828
1066,-12460,1599,-11394
1067,-1130,13,-63
1068,-8397,1602,-7329
1069,-6427,802,-5358
1070,-46476,1605,-45406
1071,-2176,402,-1105
1072,-34563,1608,-33491
1073,-10855,805,-9782
1074,-3046,1611,-1972
1075,-1865,202,-790
1076,-225250,1614,-224174
1077,-36385,808,-35308
1079,-6253,405,-5174
1080,-47340,1620,-46260
1081,-1942,811,-861
1082,-14605,1623,-13523
1083,-1581,102,-498
1084,-17146,1626,-16062
1085,-17363,814,-16278
1086,-10977,1629,-9891
1087,-16693,408,-15606
1088,-68215,1632,-67127
1089,-15023,817,-13934
1090,-3283,1635,-2193
1091,-1874,205,-783
1092,-18360,1638,-17268
1093,-112742,820,-111649
1094,-10494,1641,-9400
1095,-1585,411,-490
1096,-14570,1644,-13474
1097,-15296,823,-14199
1098,-17125,1647,-16027
1099,-10828,52,-9729
1100,-5265,1650,-4165
1101,-15246,826,-14145
1102,-18147,1653,-17045
1103,-3516,414,-2413
1104,-160476,1656,-159372
1105,-9377,829,-8272
1106,-12900,1659,-11794
1107,-17544,208,-16437
1108,-345649,1662,-344541
1109,-78948,832,-77839
1110,-16353,1665,-15243
1111,-2101,417,-990
1112,-468310,1668,-467198
1113,-13781,835,-12668
1114,-15088,1671,-13974
1115,-1509,105,-394
1116,-29372,1674,-28256
1117,-16288,838,-15171
1118,-10527,1677,-9409
1119,-11513,420,-10394
1120,-40802,1680,-39682
1121,-3338,841,-2217
1122,-4636,1683,-3514
1123,-1760,211,-637
1124,-13919,1686,-12795
1125,-5314,844,-4189
1126,-6050,1689,-4924
1127,-2095,423,-968
1128,-38843,1692,-37715
1129,-4430,847,-3301
1130,-7147,1695,-6017
1131,-1161,27,-30
1132,-8505,1698,-7373
1133,-9002,850,-7869
1134,-45281,1701,-44147
1135,-9830,426,-8695
1136,-23411,1704,-22275
1137,-69346,853,-68209
1138,-2848,1707,-1710
1139,-3329,214,-2190
1140,-31680,1710,-30540
1141,-23683,856,-22542
1142,-10742,1713,-9600
1143,-2487,429,-1344
1144,-331776,1716,-330632
1145,-11990,859,-10845
1146,-19743,1719,-18597
1147,-11504,108,-10357
1148,-8205,1722,-7057
1149,-7672,862,-6523
1150,-36641,1725,-35491
1151,-7030,432,-5879
1152,-60629,1728,-59477
1153,-13135,865,-11982
1154,-19161,1731,-18007
1155,-1626,217,-471
1156,-25299,1734,-24143
1157,-17573,868,-16416
1158,-15076,1737,-13918
1159,-1859,435,-700
1160,-12298,1740,-11138
1161,-2542,871,-1381
1162,-165752,1743,-164590
1163,-11355,55,-10192
1164,-22858,1746,-21694
