src,dst,kappa,delta,w_raw,w_aug
147,220,1,0.001640358381,0.584962500721,0.586602859102
147,110,2,0.001640358381,-0.415037499279,-0.413397140898
148,10063,1,0.001629243585,0.584962500721,0.586591744306
148,14873,2,0.001629243585,-0.415037499279,-0.413408255694
149,223,1,0.001618278398,0.584962500721,0.586580779120
149,9953,2,0.001618278398,-0.415037499279,-0.413419220880
150,10066,1,0.001607459822,0.584962500721,0.586569960543
150,5033,2,0.001607459822,-0.415037499279,-0.413430039457
151,226,1,0.001596784934,0.584962500721,0.586559285655
151,113,2,0.001596784934,-0.415037499279,-0.413440714345
152,10069,1,0.001586250892,0.584962500721,0.586548751613
152,14876,2,0.001586250892,-0.415037499279,-0.413451248387
153,229,1,0.001575854926,0.584962500721,0.586538355647
153,9956,2,0.001575854926,-0.415037499279,-0.413461644353
154,10072,1,0.001565594338,0.584962500721,0.586528095059
154,5036,2,0.001565594338,-0.415037499279,-0.413471904941
155,232,1,0.001555466502,0.584962500721,0.586517967223
155,116,2,0.001555466502,-0.415037499279,-0.413482032777
156,10075,1,0.001545468858,0.584962500721,0.586507969579
156,14879,2,0.001545468858,-0.415037499279,-0.413492030421
157,235,1,0.001535598911,0.584962500721,0.586498099632
157,9959,2,0.001535598911,-0.415037499279,-0.413501900368
158,10078,1,0.001525854231,0.584962500721,0.586488354952
158,5039,2,0.001525854231,-0.415037499279,-0.413511645048
159,238,1,0.001516232447,0.584962500721,0.586478733169
159,119,2,0.001516232447,-0.415037499279,-0.413521266831
160,10081,1,0.001506731250,0.584962500721,0.586469231971
160,14882,2,0.001506731250,-0.415037499279,-0.413530768029
161,241,1,0.001497348387,0.584962500721,0.586459849108
161,9962,2,0.001497348387,-0.415037499279,-0.413540150892
162,10084,1,0.001488081659,0.584962500721,0.586450582381
162,5042,2,0.001488081659,-0.415037499279,-0.413549417619
163,244,1,0.001478928926,0.584962500721,0.586441429647
163,122,2,0.001478928926,-0.415037499279,-0.413558570353
164,10087,1,0.001469888095,0.584962500721,0.586432388817
164,14885,2,0.001469888095,-0.415037499279,-0.413567611183
165,247,1,0.001460957128,0.584962500721,0.586423457849
165,9965,2,0.001460957128,-0.415037499279,-0.413576542151
166,10090,1,0.001452134034,0.584962500721,0.586414634755
166,5045,2,0.001452134034,-0.415037499279,-0.413585365245
167,250,1,0.001443416870,0.584962500721,0.586405917591
167,125,2,0.001443416870,-0.415037499279,-0.413594082409
168,10093,1,0.001434803739,0.584962500721,0.586397304460
168,14888,2,0.001434803739,-0.415037499279,-0.413602695540
169,253,1,0.001426292791,0.584962500721,0.586388793512
169,9968,2,0.001426292791,-0.415037499279,-0.413611206488
170,10096,1,0.001417882218,0.584962500721,0.586380382939
170,5048,2,0.001417882218,-0.415037499279,-0.413619617061
171,256,1,0.001409570255,0.584962500721,0.586372070976
171,128,2,0.001409570255,-0.415037499279,-0.413627929024
172,10099,1,0.001401355177,0.584962500721,0.586363855898
172,14891,2,0.001401355177,-0.415037499279,-0.413636144102
173,259,1,0.001393235300,0.584962500721,0.586355736021
173,9971,2,0.001393235300,-0.415037499279,-0.413644263979
174,10102,1,0.001385208979,0.584962500721,0.586347709700
174,5051,2,0.001385208979,-0.415037499279,-0.413652290300
175,262,1,0.001377274607,0.584962500721,0.586339775328
175,131,2,0.001377274607,-0.415037499279,-0.413660224672
176,10105,1,0.001369430611,0.584962500721,0.586331931333
176,14894,2,0.001369430611,-0.415037499279,-0.413668068667
177,265,1,0.001361675458,0.584962500721,0.586324176179
177,9974,2,0.001361675458,-0.415037499279,-0.413675823821
178,10108,1,0.001354007646,0.584962500721,0.586316508367
178,5054,2,0.001354007646,-0.415037499279,-0.413683491633
179,268,1,0.001346425708,0.584962500721,0.586308926429
179,134,2,0.001346425708,-0.415037499279,-0.413691073571
180,10111,1,0.001338928208,0.584962500721,0.586301428929
